id,title,sector_name,administrative_level,estimated_cost,investment_status,project_status,category,sub_sector
713,2-Installation de lampadaires pour léclairage public,Éclairage public solaire,KALALÉ-SESSOUAN,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1187,2- Prolonger le branchement du réseau électrique de la SBEE existant au quartier Fada jusqu’à Zongo,Extension du réseau électrique,MADÉCALI-ZONGO,5000000,p,N,Énergie et éclairage,Extension du réseau électrique
2712,"2- Realiser cinq forages à Bissetoupour ,  améliorer  l'accès à l'eau potable à tous les ménages",Autre,BISSÉTOUGOU,5000000,p,N,Accès à l'eau,Forage simple
2711,"2- Realiser cinq forages à Bissetoupour ,  améliorer  l'accès à l'eau potable à tous les ménages",Autre,BISSÉTOUGOU,5000000,p,N,Accès à l'eau,Forage simple
2716,2- Réaliser les  forages hydrauliques améliorer l'accès de les ménages en eau potable,Autre,KAKPALA,5000000,p,N,Accès à l'eau,Forage simple
1198,3-Amélioration des conditions d’accessibilité à travers l’aménagement de la piste rurale de Kassa-Godjékoara d'un linéaire de 17Km,Autre,GODJÉKOARA,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
1019,3) Amélioration des conditions de production à travers l'aménagement du bafonds el la mise en place d'un système de Maitrise d'eau à Banizoumbou,Autre,BANIZOUMBOU,5000000,p,N,Production végétale,Aménagement
1029,3) Amélioration des conditions de sécurités à travers l'acquisition et l'installation de lampadaires solaires pour l'éclairage de Dangazori,Éclairage public solaire,DANGAZORI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1024,3) Amélioration des conditions de sécurités à travers l'acquisition et l'installation de lampadaires solaires pour l'éclairage de Goungoun-Béri,Éclairage public solaire,GOUNGOU-BÉRI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2326,3)    Besoin de couloir de passage et air de pâturage,Autre,WONKO DE NIKKI,5000000,p,N,Production animale,Aménagement
2707,3 -  Construction de deux écoles Gonkanin et Honka,Autre,HONGON,5000000,p,N,Education,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires
1223,3- Construction d’un Abattoire moderne équipé avec salle d’eau,Autre,GAROU-TÉDJI,5000000,p,N,Infrastructure marchande,Marché de bétail
1991,3)Constructiond’unesalled’hospitalisationplus équipement au niveau de la maternité de Bouca,Autre,GANDO-GOUROU,5000000,p,N,Santé,Lits de maternité et d'hospitalisation
1990,3)Constructiond’unmagasindewarrantagede 100 tonnes,Autre,GANDO-GOUROU,5000000,p,N,Infrastructure marchande,Magasin de stockage
2717,3- Construction d'un module de deux salles de classe plus bureau'magasin et équiper en mobiliers au profit de l'EcoleMarternell,Autre,KAKPALA,5000000,p,N,Education,Bureau d'école primaire
1207,3- Délimitation et sécurisation de l'aire de pâturage de Ifoulougou d'environ 80 ha,Autre,KOUALÉROU,5000000,p,N,Production animale,Aménagement
1203,3- Délimiter et sécuriser l'aire de pâturage de Gouré Dantché à Kassa d'environ 10 ha,Autre,KASSA,5000000,p,N,Production animale,Aménagement
724,3 -Installation de lampadaire pour léclairage public,Éclairage public solaire,DANGANZI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1204,4- Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement au camp peulh Noussoukou,Autre,KASSA,5000000,p,N,Accès à l'eau,Forage + abreuvoir
1030,4) Amélioration de la connectivité à travers l'aménagement de la piste Dangazori - Banizoumbou,Autre,DANGAZORI,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
1025,4) Amélioration de la connectivité à travers l'aménagement des pistes Goungoun-Béri--Kompa et  Goungoun-Béri -- Garbé-Koara,Autre,GOUNGOU-BÉRI,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
1020,4) Amélioration de la connectivité à travers l'ouverture de  voie  Banizoumbou-Dangazori,Autre,BANIZOUMBOU,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
715,4-Aménagement de quatre VONS :Maison CHABI Sidi  Maison Alou DjermaEcole islamique  Maison MouidineMaison KAAZAN  Pavés Camp peulhEPP Kalalé - CPS,Autre,KALALÉ-SESSOUAN,5000000,p,N,Education,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires
2327,4)   construction des modules de classe,Autre,WONKO DE NIKKI,5000000,p,N,Education,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires
2722,4-Construire  un centre d'acceil et de séjour plus des infrastructures hygéniques  aux  accidentés venus à Titchakou pour  des soins  traditonnellement administrés,Autre,TCHITCHAKOU,5000000,p,N,Santé,Centre de santé d'arrondissement (CSA) ou Centre de santé de commune (CSC)
1926,4) Fourniture et installation de lampadaires solaires,Éclairage public solaire,TCHAPÉTA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2713,4- Installer  l'éclairage à base des lampadaires solaires,Éclairage public solaire,BISSÉTOUGOU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2718,4-Installer l'éclairage public à base  de lampadaires solaires,Éclairage public solaire,KAKPALA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1208,"4- Installer les lampadaires solaires à Koalérou centre et les hameaux Wadata, Détatchi, Fakara, Ifoulogou",Éclairage public solaire,KOUALÉROU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1210,"4- Installer les lampadaires solaires à Koalérou centre et les hameaux Wadata, Détatchi, Fakara, Ifoulogou",Éclairage public solaire,KOUALÉROU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2708,4-Mise en place d'un module de maternité dans l'anciente de l'Hôtipale,Autre,HONGON,5000000,p,N,Santé,Lits de maternité et d'hospitalisation
1215,5- Acquisition et installation de dix (10) lampadaires solaires pour l’éclairage public,Éclairage public solaire,GAROU-TÉDJI-GOROBANI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1205,5- Amélioration à l'accès aux soins à travers la construction et l'équipement d'une salle d’accouchement au centre de santé du village.,Autre,KASSA,5000000,p,N,Santé,Lits de maternité et d'hospitalisation
1209,5- Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement à Ifoulougou,Autre,KOUALÉROU,5000000,p,N,Accès à l'eau,Forage + abreuvoir
1195,5- Amélioration de l'éclairage public et de la sécurité à Iloua à travers l'installation de quinze (15) lampadaires solaires,Éclairage public solaire,ILLOUA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1199,5- Amélioration des conditions de manipulations de la viande à travers la construction d’une aire d'abattage dans le marché,Autre,GODJÉKOARA,5000000,p,N,Infrastructure marchande,Marché de bétail
2709,5- construction des latrines,Autre,HONGON,5000000,p,N,Hygiène et assainissement (WASH),Blocs de latrines publiques modernes
2328,5) Construction d'un centre de santé,Autre,WONKO DE NIKKI,5000000,p,N,Santé,Centre de santé d'arrondissement (CSA) ou Centre de santé de commune (CSC)
1021,5) Construction et équipement de logements pour les enseignants de l'EPP de Kompa,Autre,BANIZOUMBOU,5000000,p,N,Education,Logement pour les enseignants du primaire
1026,5) Construction et équipement de logements pour les enseignants de l'EPP Goungoun-Béri,Autre,GOUNGOU-BÉRI,5000000,p,N,Education,Logement pour les enseignants du primaire
1031,5) Construction et équipement d’un centre de santé a Soumé-Tounga,Autre,DANGAZORI,5000000,p,N,Santé,Centre de santé d'arrondissement (CSA) ou Centre de santé de commune (CSC)
1992,5)Etudesetaménagementdel’axeBouca–PontOly,Autre,GANDO-GOUROU,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2714,5-  Installer les forages agropastoraux,Autre,BISSÉTOUGOU,5000000,p,N,Accès à l'eau,Forage simple
1200,5-Réaliser et équiper un forage au campement Doka héri,Autre,GODJÉKOARA,5000000,p,N,Accès à l'eau,Forage simple
2622,Accès à  eau potable,Autre,SONNOUGOBÉROU,5000000,p,N,Accès à l'eau,Forage simple
2335,Accès  à  l'eau  potable,Autre,GOUNIN DE PARAKOU1,5000000,p,N,Accès à l'eau,Forage simple
2627,Accès à l’eau potable,Autre,POUPOURÉ,5000000,p,N,Accès à l'eau,Forage simple
2626,Accès à l’eau potable,Autre,NIARO-GNINON,5000000,p,N,Accès à l'eau,Forage simple
2625,Accès à l’eau potable,Autre,NIARISSINRA,5000000,p,N,Accès à l'eau,Forage simple
2623,Accès à l’eau potable,Autre,BOROUKOU-PEULH,5000000,p,N,Accès à l'eau,Forage simple
2663,Accès à l'eau potable (Forages),Autre,TOUKOUNTOUNA,5000000,p,N,Accès à l'eau,Forage simple
1486,Accès à l'éducation de qualité,Autre,GNÉMASSON-GANDO,5000000,p,N,Education,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires
56,ACCÈS À L'ÉLECTRIFICATION RURALE DNS LA COMMUNAUTÉ ET SURTOUT AU CAMP PEULH,Électrification rurale hors réseau,TALINTA,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
1317,Acquisition de lampadaire solaire,Éclairage public solaire,WOURO-YESSO,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1292,Acquisition de lampadaire solaire,Éclairage public solaire,GALIEL,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1308,Acquisition de lampadaire solaire pour l'éclairage public,Éclairage public solaire,KOTCHI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1290,Acquisition de lampadaire solaire pour l'éclairage public,Éclairage public solaire,BODJÉCALI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1315,Acquisition de lampadaire solaire pour l'éclairage public,Éclairage public solaire,WOLLO,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1298,Acquisition de lampadaire solaire pour l'éclairage public,Éclairage public solaire,TASSI-TÉDJI-BOULANGA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
427,Acquisition de lampadaires solaire au CEG,Éclairage public solaire,GNONKOURAKALI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2579,Acquisition de matériels et équipements d'assainissement au profit de la communauté,Autre,PÉTONI-POHO- PARTAGO,5000000,p,N,Hygiène et assainissement (WASH),Blocs de latrines publiques modernes
1760,"Acquisition de matériels et équipements d’assainissements (balaies, râteaux, pelles pour l’entretien des caniveaux, poubelles et de tricycle pour le ramassage des ordures) au profit de la communauté de Zongo",Autre,ZONGO DE DJOUGOU1,5000000,p,N,Hygiène et assainissement (WASH),Blocs de latrines publiques modernes
1761,"Acquisition de matériels et équipements d’assainissements (balaies, râteaux, pelles pour l’entretien des caniveaux, poubelles et de tricycle pour le ramassage des ordures) au profit de la communauté de Zongo",Autre,ZONGO DE DJOUGOU1,5000000,p,N,Hygiène et assainissement (WASH),Blocs de latrines publiques modernes
1313,Acquisition de panneaux solaires,Électrification rurale hors réseau,WOLLO,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
444,Acquisition des panneaux solaires publics,Électrification rurale hors réseau,WOROUMANGASSAROU,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
227,Acquisition du matériels et équipements au profit de dispensaire isolé de Diépani-Balimboli,Autre,DIÉPANI-BALIMBOLI,5000000,p,N,Santé,Dispensaire isolé
1230,Acquisition et installation de 10 lampadaires solaires pour l’éclairage publique,Éclairage public solaire,DJINDÉGABI-TOUNGA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2669,Acquisitionetinstallationde15lampadairessolai,Éclairage public solaire,ADA-KPANÉ,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1243,Acquisition et installation de 15 lampadaires solaires pour l'éclairage,Éclairage public solaire,WOLLO-CHÂTEAU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1252,Acquisition et installation de 15 lampadaires solaires pour l'éclairage public,Éclairage public solaire,TASSI-TÉDJI-BANIZOUNBOU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1237,Acquisition et installation de 15 lampadaires solaires pour l'éclairage public,Éclairage public solaire,TASSI-DJINDÉ,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1263,Acquisition et installation de 15 lampadaires solaires pour l'éclairage public,Éclairage public solaire,TASSI-TÉDJI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1257,Acquisition et installation de 15 lampadaires solaires pour l'éclairage public,Éclairage public solaire,BODJÉCALI-CHÂTEAU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1250,Acquisition et installation de 15 lampadaires solaires pour l'éclairage public,Éclairage public solaire,GOLOBANDA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
2691,Acquisition et  installation de 25 lampadaires solaires photovoltaïques,Électrification rurale hors réseau,GBÉROUGBASSI,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
1273,Acquisition et installation de 30 lampadaires solaires pour l'éclairage public,Éclairage public solaire,SAKAWAN-ZÉNON,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1278,Acquisition et installation de 30 lampadaires solaires pour l'éclairage public,Éclairage public solaire,GOROU-DJINDÉ,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1996,Acquisition et installation de 35 lampadaires solaires photovoltaïques,Électrification rurale hors réseau,GNEL-BOUCATOU,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
2676,Acquisitionetinstallationde35lampadairessolaires photovoltaïques,Électrification rurale hors réseau,BESSASSI-BOUCA,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
2684,Acquisition et installation de 40 lampadaires solaires photovoltaïques,Électrification rurale hors réseau,GBASSI,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
2680,Acquisitionetinstallationde40lampadairessolaires photovoltaïques,Électrification rurale hors réseau,BOUCA-WOOROU,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
1984,Acquisition et installation de 50 lampadaire solaires photovoltaïques,Électrification rurale hors réseau,BOUCA,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
2413,Acquisition et installation de lampadaire solaire à Kéné-Tounga et campement,Éclairage public solaire,KÉNÉ-TOUNGA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1303,Acquisition et installation de lampadaires solaires,Éclairage public solaire,TASSI-ZÉNON,5000000,p,N,Énergie et éclairage,Éclairage public solaire
621,Acquisition et installation de lampadaires solaires dans le village tasso,Éclairage public solaire,TASSO,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1004,Acquisition et installation des lampadaire solaire,Éclairage public solaire,LOUMBOU-LOUMBOU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1008,Acquisition et installation des lampadaire solaire à machayan-Marché,Autre,MACHAYAN-MARCHÉ,5000000,p,N,Infrastructure marchande,Hangar de marché
992,Acquisition et installation des lampadaires solaire à Goroukambou,Éclairage public solaire,GOROUKAMBOU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
195,Acquisition et installation des lampadaires solaires,Éclairage public solaire,IGBOMAKRO,5000000,p,N,Énergie et éclairage,Éclairage public solaire
829,Acquisition et installation des lampadaires solaires,Éclairage public solaire,WÉKÉTÈRÈ,5000000,p,N,Énergie et éclairage,Éclairage public solaire
690,Acquisition et installation des lampadaires solaires à guinma,Éclairage public solaire,GUEMA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
693,Acquisition et installation des lampadaires solaires à Guinrou,Éclairage public solaire,GUINROU,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1000,Acquisition et Installation des lampadaires solaires à Kargui,Éclairage public solaire,KARIGUI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
701,Acquisition et installation des panneaux solaires à guinrou peulh,Électrification rurale hors réseau,GUINROU-PEULH,5000000,p,N,Énergie et éclairage,Électrification rurale hors réseau
951,Acquisition et pose de 20 lampadaire solaire au profit du village,Éclairage public solaire,WARIKPA,5000000,p,N,Énergie et éclairage,Éclairage public solaire
535,Acquisitions d'équipements et matériaux médicaux avec lampadaire et panneaux solaires photovoltaïques au centre de santé de Nassy,Autre,NASSY,5000000,p,N,Santé,Centre de santé d'arrondissement (CSA) ou Centre de santé de commune (CSC)
826,Acquisitions des lampadaires solaire,Éclairage public solaire,FOMBAWI,5000000,p,N,Énergie et éclairage,Éclairage public solaire
1575,Aires de pâturage,Autre,OTANONGOU,5000000,p,N,Production animale,Aménagement
2199,Âme la piste (Gnalo -Atchakitam-Kaleba) longue de 13km et réaliser toutes les infrastructures de franchissement,Autre,ATCHAKITAM,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2729,Amelioration à l’accès à l’eau,Autre,TORA,5000000,p,N,Autre,Autre
948,"Amélioration à l'accès à l'eau potable a travers la réalisation d'un point d'eau autonome pour desservir les localités de Aladji mama, koukouri, Gbékpanin et watahi",Autre,KINNOU-KPAROU,5000000,p,N,Accès à l'eau,Poste d'eau autonome (PEA)
942,Amélioration à l'accès à l'eau potable a travers la réalisation d'un point d'eau autonome pour desservir les localités de Tico koukouri et Gbékpanin,Autre,SAKANA- KPÉBA,5000000,p,N,Accès à l'eau,Poste d'eau autonome (PEA)
393,Amélioration à l'accès à l'eau potable dans le village de Gouré Baba à travers la réalisation de quatre postes d'Eau autonome à Guiribé et Gouré Baba,Autre,GOURE BABA,5000000,p,N,Accès à l'eau,Forage simple
374,Amélioration à l'accès à l'eau potable dans le village de l'alafiarou à travers la réalisation d'un poste d'eau autonome à l'Alafiarou,Autre,ALAFIAROU DE OUENOU,5000000,p,N,Accès à l'eau,Poste d'eau autonome (PEA)
390,Amélioration à l'accès à l'eau potable dans le village Gotel à travers l'installation d'un poste d'eau autonome,Autre,GOTEL,5000000,p,N,Accès à l'eau,Poste d'eau autonome (PEA)
551,Amélioration à l’alimentation des animaux et aux soins de santé à travers l’acquisition de plantes fourragère et des kits de soins vétérinaire pour les animaux  du village,Autre,KOUKOUMBOU,5000000,p,N,Santé,Centre de santé d'arrondissement (CSA) ou Centre de santé de commune (CSC)
376,Amélioration à travers à la santé publique à travers la construction de maternité dans le centre de santé de fombawi,Autre,ALAFIAROU DE OUENOU,5000000,p,N,Santé,Lits de maternité et d'hospitalisation
132,Amélioration d’accès à l’eau potable à travers la réalisation de forage d’eau potable,Autre,TÈKÈ-TÉROU,5000000,p,N,Accès à l'eau,Forage simple
128,Amélioration d’accès à l’eau potable à travers la réalisation d’un forage,Autre,IGBÈRÈ,5000000,p,N,Accès à l'eau,Forage simple
391,Amélioration d'éclairage public dans Gotel à travers l'installation d'un champ scolaire dans le village,Autre,GOTEL,5000000,p,N,Education,Infrastructures d'éclairage scolaires + équipements
402,Amélioration d'éclairage public dans Tchikandou à travers l'installation d'un champ scolaire dans le village,Autre,TCHICANDOU,5000000,p,N,Education,Infrastructures d'éclairage scolaires + équipements
2143,Amélioration de connectivité entre Itchèlli et kpaouya à travers l’aménagement de la route les reliant,Autre,ITCHÈLLI,5000000,p,N,Transport rural (connectivité),Piste de desserte rurale
2329,Amélioration  de l'accès  à  l'eau,Autre,GAANON,5000000,p,N,Accès à l'eau,Forage simple
2314,Amélioration de l’accès à l’eau à travers la réalisation de 04 Forages équipés d’un dispositif solaire,Autre,KPÉBIÉ DE PARAKOU1,5000000,p,N,Accès à l'eau,Forage simple
870,Amélioration de l'accès à l'eau à travers la réalisation de 3 forages,Autre,KABASSIRA,5000000,p,N,Accès à l'eau,Forage simple
2319,Amélioration de l’accès à l’eau à travers la réalisation de trois forages,Autre,OUÉZÉ,5000000,p,N,Accès à l'eau,Forage simple
553,Amélioration de l’accès à l'eau à travers la réalisation d'ouvrage de franchissement,Autre,SANRÉKOU,5000000,p,N,Accès à l'eau,Forage simple
2288,Amélioration de l'accès à l'eau à travers la réalisation d'un point d'eau multifonctionnel,Autre,SANDILO,5000000,p,N,Accès à l'eau,Forage simple
2283,Amélioration de l'accès à l'eau à travers la réalisation d'un point d'eau multifonctionnel,Autre,ASSAGNAHOUN,5000000,p,N,Accès à l'eau,Forage simple
581,Amélioration de l'accès à l'eau à travers la réalisation d'un point d'eau multifonctionnel,Autre,DIGUIDIROU,5000000,p,N,Accès à l'eau,Forage simple
554,"Amélioration de l’accès à l'eau à travers la réalisation d'un point d'eau multifonctions ( 01 forage équipés de dispositifs solaires plus château d'eau,  PEA et bonne fontaine dans les hameaux dans 4 hameaux",Autre,SANDILO-GANDO,5000000,p,N,Accès à l'eau,Poste d'eau autonome (PEA)
70,Amélioration de l’accès à l’eau aux ménages de Kawado à l’aide d’un forage pour réduire les peines des femmes liées à l’approvisionnement en eau potable,Autre,KAWADO,5000000,p,N,Accès à l'eau,Forage simple
2037,Amélioration de l’accès à l’eau potable,Autre,KILIR,5000000,p,N,Accès à l'eau,Forage simple
233,Amélioration de l’accès à l’eau potable,Autre,TIMTIM-BONGO,5000000,p,N,Accès à l'eau,Forage simple
2580,Amélioration de l’accès à l’eau potable,Autre,PÉTONI-POHO- PARTAGO,5000000,p,N,Accès à l'eau,Forage simple
2550,Amélioration de l’accès à l’eau potable,Autre,KOTOTOUGOU,5000000,p,N,Accès à l'eau,Forage simple
2095,Amélioration de l’accès à l’eau potable,Autre,AWANLA,5000000,p,N,Accès à l'eau,Forage simple
887,Amélioration de l'accès à l'eau potable à travers la construction d'un forage,Autre,KADÉRA,5000000,p,N,Accès à l'eau,Forage simple
585,Amélioration de l'accès à l'eau potable à travers la réalisation d'un point d'eau multifonctionnel,Autre,DIGUIDIROU -PEULH,5000000,p,N,Accès à l'eau,Forage simple
2246,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,BATOULOU MOUNLA,5000000,p,N,Accès à l'eau,Forage simple
2223,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,DJAKPINGOU,5000000,p,N,Accès à l'eau,Forage simple
2241,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,LÉMAN-MANDÈ,5000000,p,N,Accès à l'eau,Forage simple
2229,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,KPARSI,5000000,p,N,Accès à l'eau,Forage simple
237,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,KPATOUHOU,5000000,p,N,Accès à l'eau,Forage simple
2234,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,LÉMAN-BOGOU,5000000,p,N,Accès à l'eau,Forage simple
2257,Amélioration de l’accès à l’eau potable au profit de la communauté,Autre,FORMAGAZI,5000000,p,N,Accès à l'eau,Forage simple
2260,Amélioration de l’accès à l’eau potable au profit de la communauté de Servessi,Autre,SEHVESSI,5000000,p,N,Accès à l'eau,Forage simple
2180,Amélioration de l'accès à l'eau potable aux ménages à travers la réalisation d'un forage pour réduire les peines des femmes à l'approvisionnement en eau,Autre,GAO,5000000,p,N,Accès à l'eau,Forage simple
2170,Amélioration de l'accès à l'eau potable aux ménages à travers la réalisation d'un forage pour réduire les peines des femmes dues à l'approvisionnement en eau,Autre,AGUÉOU-GARBA,5000000,p,N,Accès à l'eau,Forage simple
2189,Amélioration de l'accès à l'eau potable aux ménages à travers la réalisation d'un forage pour réduire les peines des femmes dues à l'approvisionnement en eau,Autre,KAKPÉSSIA,5000000,p,N,Accès à l'eau,Forage simple
2175,Amélioration de l'accès à l'eau potable aux ménages à travers la réalisation d'un forage pour réduire les peines des femmes dues à l'approvisionnement en eau,Autre,AWOTOBI,5000000,p,N,Accès à l'eau,Forage simple
